iter	Passed	Remaining
0	33	14505
1	62	13650
2	93	13441
3	125	13501
4	154	13275
5	182	13078
6	213	13091
7	243	13032
8	272	12906
9	312	13332
10	341	13207
11	374	13215
12	403	13114
13	431	13014
14	459	12910
15	486	12770
16	515	12694
17	543	12630
18	574	12611
19	601	12519
20	629	12436
21	661	12456
22	689	12374
23	717	12314
24	745	12262
25	775	12223
26	804	12180
27	832	12135
28	861	12091
29	893	12087
30	922	12046
31	950	11995
32	980	11972
33	1008	11922
34	1036	11878
35	1068	11877
36	1098	11846
37	1124	11780
38	1151	11723
39	1179	11679
40	1207	11633
41	1238	11619
42	1269	11601
43	1299	11577
44	1330	11561
45	1357	11512
46	1386	11476
47	1416	11452
48	1447	11430
49	1475	11392
50	1505	11361
51	1530	11300
52	1558	11259
53	1586	11224
54	1617	11204
55	1646	11170
56	1676	11148
57	1706	11118
58	1735	11086
59	1764	11060
60	1795	11040
61	1827	11025
62	1855	10985
63	1883	10945
64	1912	10918
65	1942	10891
66	1970	10854
67	2002	10838
68	2030	10802
69	2061	10776
70	2088	10738
71	2119	10716
72	2148	10683
73	2176	10644
74	2207	10623
75	2237	10596
76	2265	10562
77	2295	10537
78	2323	10498
79	2350	10460
80	2381	10435
81	2410	10404
82	2439	10376
83	2468	10344
84	2499	10322
85	2530	10298
86	2560	10270
87	2587	10233
88	2620	10216
89	2649	10186
90	2677	10151
91	2704	10111
92	2733	10080
93	2762	10052
94	2790	10015
95	2816	9974
96	2848	9955
97	2879	9930
98	2908	9901
99	2939	9875
100	2967	9844
101	2997	9814
102	3025	9781
103	3053	9747
104	3082	9718
105	3112	9689
106	3142	9663
107	3172	9635
108	3200	9602
109	3229	9571
110	3258	9539
111	3288	9512
112	3315	9476
113	3345	9450
114	3376	9424
115	3407	9400
116	3436	9370
117	3465	9340
118	3496	9313
119	3524	9282
120	3555	9256
121	3584	9226
122	3615	9201
123	3645	9173
124	3675	9144
125	3703	9111
126	3728	9071
127	3757	9042
128	3788	9016
129	3817	8985
130	3848	8960
131	3877	8930
132	3906	8900
133	3935	8870
134	3965	8840
135	3993	8810
136	4028	8791
137	4054	8755
138	4083	8725
139	4114	8699
140	4140	8662
141	4168	8630
142	4199	8604
143	4227	8572
144	4255	8540
145	4282	8505
146	4309	8471
147	4338	8443
148	4367	8412
149	4393	8376
150	4424	8351
151	4454	8323
152	4481	8289
153	4507	8253
154	4535	8221
155	4562	8189
156	4591	8159
157	4620	8129
158	4649	8100
159	4678	8071
160	4708	8043
161	4739	8016
162	4767	7985
163	4797	7956
164	4825	7925
165	4856	7899
166	4890	7876
167	4917	7844
168	4951	7822
169	4979	7792
170	5009	7762
171	5038	7733
172	5068	7705
173	5098	7677
174	5129	7650
175	5158	7619
176	5188	7592
177	5217	7562
178	5247	7533
179	5276	7504
180	5308	7478
181	5336	7447
182	5364	7416
183	5388	7379
184	5417	7349
185	5449	7324
186	5479	7296
187	5510	7268
188	5540	7240
189	5568	7210
190	5600	7183
191	5632	7158
192	5662	7129
193	5692	7100
194	5718	7067
195	5748	7038
196	5777	7008
197	5806	6979
198	5835	6950
199	5864	6920
200	5891	6888
201	5921	6859
202	5950	6829
203	5979	6800
204	6007	6769
205	6038	6741
206	6064	6709
207	6097	6683
208	6127	6655
209	6156	6626
210	6186	6596
211	6215	6567
212	6247	6540
213	6279	6514
214	6304	6480
215	6333	6450
216	6361	6420
217	6390	6390
218	6421	6362
219	6449	6331
220	6479	6303
221	6510	6275
222	6539	6245
223	6570	6218
224	6600	6189
225	6627	6158
226	6656	6128
227	6684	6098
228	6714	6069
229	6745	6041
230	6774	6011
231	6803	5982
232	6833	5953
233	6863	5924
234	6894	5896
235	6925	5869
236	6953	5838
237	6982	5809
238	7008	5777
239	7036	5746
240	7068	5719
241	7098	5690
242	7129	5662
243	7160	5634
244	7189	5604
245	7216	5573
246	7246	5544
247	7274	5514
248	7304	5485
249	7334	5456
250	7363	5427
251	7392	5398
252	7421	5368
253	7454	5341
254	7483	5311
255	7512	5282
256	7541	5252
257	7573	5224
258	7603	5196
259	7631	5165
260	7660	5136
261	7690	5107
262	7720	5078
263	7752	5050
264	7783	5022
265	7812	4993
266	7841	4963
267	7870	4933
268	7900	4904
269	7931	4876
270	7963	4848
271	7990	4817
272	8021	4789
273	8049	4758
274	8078	4729
275	8109	4701
276	8136	4670
277	8165	4640
278	8200	4614
279	8228	4584
280	8257	4554
281	8286	4525
282	8314	4495
283	8345	4466
284	8373	4436
285	8402	4407
286	8434	4378
287	8465	4350
288	8491	4319
289	8520	4289
290	8550	4260
291	8580	4231
292	8609	4201
293	8640	4173
294	8670	4144
295	8698	4114
296	8728	4084
297	8756	4055
298	8785	4025
299	8814	3995
300	8844	3966
301	8875	3937
302	8905	3908
303	8935	3880
304	8963	3850
305	8993	3820
306	9022	3791
307	9053	3762
308	9082	3732
309	9110	3703
310	9141	3674
311	9171	3645
312	9201	3616
313	9231	3586
314	9260	3557
315	9290	3527
316	9320	3498
317	9348	3468
318	9378	3439
319	9408	3410
320	9437	3381
321	9466	3351
322	9495	3321
323	9524	3292
324	9553	3263
325	9583	3233
326	9614	3204
327	9642	3175
328	9674	3146
329	9703	3116
330	9730	3086
331	9761	3057
332	9790	3028
333	9819	2998
334	9849	2969
335	9880	2940
336	9911	2911
337	9945	2883
338	9973	2853
339	10003	2824
340	10031	2794
341	10062	2765
342	10089	2735
343	10119	2706
344	10151	2677
345	10184	2649
346	10210	2618
347	10237	2588
348	10266	2559
349	10299	2530
350	10328	2501
351	10362	2472
352	10390	2443
353	10419	2413
354	10448	2384
355	10478	2354
356	10503	2324
357	10532	2294
358	10565	2266
359	10594	2236
360	10621	2206
361	10651	2177
362	10685	2148
363	10715	2119
364	10744	2089
365	10770	2060
366	10799	2030
367	10829	2001
368	10858	1971
369	10888	1942
370	10916	1912
371	10946	1883
372	10976	1853
373	11006	1824
374	11034	1794
375	11064	1765
376	11095	1736
377	11124	1706
378	11155	1677
379	11186	1648
380	11217	1619
381	11245	1589
382	11276	1560
383	11308	1531
384	11335	1501
385	11362	1471
386	11393	1442
387	11423	1413
388	11455	1384
389	11485	1354
390	11516	1325
391	11542	1295
392	11571	1266
393	11599	1236
394	11630	1207
395	11659	1177
396	11688	1148
397	11716	1118
398	11747	1089
399	11777	1059
400	11807	1030
401	11835	1001
402	11864	971
403	11893	942
404	11923	912
405	11954	883
406	11984	853
407	12016	824
408	12044	795
409	12073	765
410	12103	736
411	12136	706
412	12165	677
413	12192	647
414	12220	618
415	12253	589
416	12282	559
417	12312	530
418	12342	500
419	12371	471
420	12399	441
421	12428	412
422	12457	382
423	12485	353
424	12515	323
425	12545	294
426	12567	264
427	12593	235
428	12615	205
429	12637	176
430	12660	146
431	12683	117
432	12699	87
433	12717	58
434	12740	29
435	12756	0
